Survived,Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,UUID
0,3,Mr. Owen Harris Braund,male,22,1,0,7.25,a9ab8ba6-91d3-11e9-af94-a45e60d235db
1,1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38,1,0,71.2833,a9ab8dc2-91d3-11e9-af94-a45e60d235db
1,3,Miss. Laina Heikkinen,female,26,0,0,7.925,a9ab8e4e-91d3-11e9-af94-a45e60d235db
1,1,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35,1,0,53.1,a9ab8ebc-91d3-11e9-af94-a45e60d235db
0,3,Mr. William Henry Allen,male,35,0,0,8.05,a9ab8f20-91d3-11e9-af94-a45e60d235db
0,3,Mr. James Moran,male,27,0,0,8.4583,a9ab8f7a-91d3-11e9-af94-a45e60d235db
0,1,Mr. Timothy J McCarthy,male,54,0,0,51.8625,a9ab8fd4-91d3-11e9-af94-a45e60d235db
0,3,Master. Gosta Leonard Palsson,male,2,3,1,21.075,a9ab902e-91d3-11e9-af94-a45e60d235db
1,3,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27,0,2,11.1333,a9ab9092-91d3-11e9-af94-a45e60d235db
1,2,Mrs. Nicholas (Adele Achem) Nasser,female,14,1,0,30.0708,a9ab90f6-91d3-11e9-af94-a45e60d235db
1,3,Miss. Marguerite Rut Sandstrom,female,4,1,1,16.7,a9ab915a-91d3-11e9-af94-a45e60d235db
1,1,Miss. Elizabeth Bonnell,female,58,0,0,26.55,a9ab91b4-91d3-11e9-af94-a45e60d235db
0,3,Mr. William Henry Saundercock,male,20,0,0,8.05,a9ab920e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Anders Johan Andersson,male,39,1,5,31.275,a9ab9268-91d3-11e9-af94-a45e60d235db
0,3,Miss. Hulda Amanda Adolfina Vestrom,female,14,0,0,7.8542,a9ab92c2-91d3-11e9-af94-a45e60d235db
1,2,Mrs. (Mary D Kingcome) Hewlett,female,55,0,0,16,a9ab931c-91d3-11e9-af94-a45e60d235db
0,3,Master. Eugene Rice,male,2,4,1,29.125,a9ab9376-91d3-11e9-af94-a45e60d235db
1,2,Mr. Charles Eugene Williams,male,23,0,0,13,a9ab93d0-91d3-11e9-af94-a45e60d235db
0,3,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31,1,0,18,a9ab942a-91d3-11e9-af94-a45e60d235db
1,3,Mrs. Fatima Masselmani,female,22,0,0,7.225,a9ab948e-91d3-11e9-af94-a45e60d235db
0,2,Mr. Joseph J Fynney,male,35,0,0,26,a9ab94e8-91d3-11e9-af94-a45e60d235db
1,2,Mr. Lawrence Beesley,male,34,0,0,13,a9ab9538-91d3-11e9-af94-a45e60d235db
1,3,Miss. Anna McGowan,female,15,0,0,8.0292,a9ab9592-91d3-11e9-af94-a45e60d235db
1,1,Mr. William Thompson Sloper,male,28,0,0,35.5,a9ab95e2-91d3-11e9-af94-a45e60d235db
0,3,Miss. Torborg Danira Palsson,female,8,3,1,21.075,a9ab963c-91d3-11e9-af94-a45e60d235db
1,3,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,38,1,5,31.3875,a9ab96a0-91d3-11e9-af94-a45e60d235db
0,3,Mr. Farred Chehab Emir,male,26,0,0,7.225,a9ab9704-91d3-11e9-af94-a45e60d235db
0,1,Mr. Charles Alexander Fortune,male,19,3,2,263,a9ab975e-91d3-11e9-af94-a45e60d235db
1,3,Miss. Ellen O'Dwyer,female,24,0,0,7.8792,a9ab97b8-91d3-11e9-af94-a45e60d235db
0,3,Mr. Lalio Todoroff,male,23,0,0,7.8958,a9ab9812-91d3-11e9-af94-a45e60d235db
0,1,Don. Manuel E Uruchurtu,male,40,0,0,27.7208,a9ab986c-91d3-11e9-af94-a45e60d235db
1,1,Mrs. William Augustus (Marie Eugenie) Spencer,female,48,1,0,146.5208,a9ab98c6-91d3-11e9-af94-a45e60d235db
1,3,Miss. Mary Agatha Glynn,female,18,0,0,7.75,a9ab9920-91d3-11e9-af94-a45e60d235db
0,2,Mr. Edward H Wheadon,male,66,0,0,10.5,a9ab997a-91d3-11e9-af94-a45e60d235db
0,1,Mr. Edgar Joseph Meyer,male,28,1,0,82.1708,a9ab99d4-91d3-11e9-af94-a45e60d235db
0,1,Mr. Alexander Oskar Holverson,male,42,1,0,52,a9ab9a60-91d3-11e9-af94-a45e60d235db
1,3,Mr. Hanna Mamee,male,18,0,0,7.2292,a9ab9ace-91d3-11e9-af94-a45e60d235db
0,3,Mr. Ernest Charles Cann,male,21,0,0,8.05,a9ab9b28-91d3-11e9-af94-a45e60d235db
0,3,Miss. Augusta Maria Vander Planke,female,18,2,0,18,a9ab9b82-91d3-11e9-af94-a45e60d235db
1,3,Miss. Jamila Nicola-Yarred,female,14,1,0,11.2417,a9ab9bdc-91d3-11e9-af94-a45e60d235db
0,3,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,40,1,0,9.475,a9ab9c36-91d3-11e9-af94-a45e60d235db
0,2,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,27,1,0,21,a9ab9c9a-91d3-11e9-af94-a45e60d235db
1,2,Miss. Simonne Marie Anne Andree Laroche,female,3,1,2,41.5792,a9ab9cfe-91d3-11e9-af94-a45e60d235db
1,3,Miss. Margaret Delia Devaney,female,19,0,0,7.8792,a9ab9d62-91d3-11e9-af94-a45e60d235db
0,3,Mr. William John Rogers,male,30,0,0,8.05,a9ab9dbc-91d3-11e9-af94-a45e60d235db
0,3,Mr. Denis Lennon,male,20,1,0,15.5,a9ab9e0c-91d3-11e9-af94-a45e60d235db
1,3,Miss. Bridget O'Driscoll,female,27,0,0,7.75,a9ab9e66-91d3-11e9-af94-a45e60d235db
0,3,Mr. Youssef Samaan,male,16,2,0,21.6792,a9ab9ec0-91d3-11e9-af94-a45e60d235db
0,3,Mrs. Josef (Josefine Franchi) Arnold-Franchi,female,18,1,0,17.8,a9ab9f1a-91d3-11e9-af94-a45e60d235db
0,3,Master. Juha Niilo Panula,male,7,4,1,39.6875,a9ab9f7e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Richard Cater Nosworthy,male,21,0,0,7.8,a9ab9fd8-91d3-11e9-af94-a45e60d235db
1,1,Mrs. Henry Sleeper (Myna Haxtun) Harper,female,49,1,0,76.7292,a9aba032-91d3-11e9-af94-a45e60d235db
1,2,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,29,1,0,26,a9aba08c-91d3-11e9-af94-a45e60d235db
0,1,Mr. Engelhart Cornelius Ostby,male,65,0,1,61.9792,a9aba0f0-91d3-11e9-af94-a45e60d235db
1,1,Mr. Hugh Woolner,male,46,0,0,35.5,a9aba14a-91d3-11e9-af94-a45e60d235db
1,2,Miss. Emily Rugg,female,21,0,0,10.5,a9aba19a-91d3-11e9-af94-a45e60d235db
0,3,Mr. Mansouer Novel,male,28.5,0,0,7.2292,a9aba1f4-91d3-11e9-af94-a45e60d235db
1,2,Miss. Constance Mirium West,female,5,1,2,27.75,a9aba24e-91d3-11e9-af94-a45e60d235db
0,3,Master. William Frederick Goodwin,male,11,5,2,46.9,a9aba2a8-91d3-11e9-af94-a45e60d235db
0,3,Mr. Orsen Sirayanian,male,22,0,0,7.2292,a9aba302-91d3-11e9-af94-a45e60d235db
1,1,Miss. Amelie Icard,female,38,0,0,80,a9aba35c-91d3-11e9-af94-a45e60d235db
0,1,Mr. Henry Birkhardt Harris,male,45,1,0,83.475,a9aba3b6-91d3-11e9-af94-a45e60d235db
0,3,Master. Harald Skoog,male,4,3,2,27.9,a9aba410-91d3-11e9-af94-a45e60d235db
0,1,Mr. Albert A Stewart,male,64,0,0,27.7208,a9aba4b0-91d3-11e9-af94-a45e60d235db
1,3,Master. Gerios Moubarek,male,7,1,1,15.2458,a9aba500-91d3-11e9-af94-a45e60d235db
1,2,Mrs. (Elizabeth Ramell) Nye,female,29,0,0,10.5,a9aba55a-91d3-11e9-af94-a45e60d235db
0,3,Mr. Ernest James Crease,male,19,0,0,8.1583,a9aba5aa-91d3-11e9-af94-a45e60d235db
1,3,Miss. Erna Alexandra Andersson,female,17,4,2,7.925,a9aba604-91d3-11e9-af94-a45e60d235db
0,3,Mr. Vincenz Kink,male,26,2,0,8.6625,a9aba65e-91d3-11e9-af94-a45e60d235db
0,2,Mr. Stephen Curnow Jenkin,male,32,0,0,10.5,a9aba6ae-91d3-11e9-af94-a45e60d235db
0,3,Miss. Lillian Amy Goodwin,female,16,5,2,46.9,a9aba708-91d3-11e9-af94-a45e60d235db
0,2,Mr. Ambrose Jr Hood,male,21,0,0,73.5,a9aba762-91d3-11e9-af94-a45e60d235db
0,3,Mr. Apostolos Chronopoulos,male,26,1,0,14.4542,a9aba7bc-91d3-11e9-af94-a45e60d235db
1,3,Mr. Lee Bing,male,32,0,0,56.4958,a9aba816-91d3-11e9-af94-a45e60d235db
0,3,Mr. Sigurd Hansen Moen,male,25,0,0,7.65,a9aba866-91d3-11e9-af94-a45e60d235db
0,3,Mr. Ivan Staneff,male,23,0,0,7.8958,a9aba8c0-91d3-11e9-af94-a45e60d235db
0,3,Mr. Rahamin Haim Moutal,male,28,0,0,8.05,a9aba910-91d3-11e9-af94-a45e60d235db
1,2,Master. Alden Gates Caldwell,male,0.83,0,2,29,a9aba96a-91d3-11e9-af94-a45e60d235db
1,3,Miss. Elizabeth Dowdell,female,30,0,0,12.475,a9aba9c4-91d3-11e9-af94-a45e60d235db
0,3,Mr. Achille Waelens,male,22,0,0,9,a9abaa14-91d3-11e9-af94-a45e60d235db
1,3,Mr. Jan Baptist Sheerlinck,male,29,0,0,9.5,a9abaa6e-91d3-11e9-af94-a45e60d235db
1,3,Miss. Brigdet Delia McDermott,female,31,0,0,7.7875,a9abaabe-91d3-11e9-af94-a45e60d235db
0,1,Mr. Francisco M Carrau,male,28,0,0,47.1,a9abab18-91d3-11e9-af94-a45e60d235db
1,2,Miss. Bertha Ilett,female,17,0,0,10.5,a9abab68-91d3-11e9-af94-a45e60d235db
1,3,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33,3,0,15.85,a9ababc2-91d3-11e9-af94-a45e60d235db
0,3,Mr. William Neal Ford,male,16,1,3,34.375,a9abac26-91d3-11e9-af94-a45e60d235db
0,3,Mr. Selman Francis Slocovski,male,20,0,0,8.05,a9abac76-91d3-11e9-af94-a45e60d235db
1,1,Miss. Mabel Helen Fortune,female,23,3,2,263,a9abacd0-91d3-11e9-af94-a45e60d235db
